Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Country
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1957,Sputnik 8K71PS,Sputnik-1,Retired,Success,Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/11/1957,Sputnik 8K71PS,Sputnik-2,Retired,Success,Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",06/12/1957,Vanguard,Vanguard TV3,Retired,Failure,USA
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",01/02/1958,Juno I,Explorer 1,Retired,Success,USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",05/02/1958,Vanguard,Vanguard TV3BU,Retired,Failure,USA
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",05/03/1958,Juno I,Explorer 2,Retired,Failure,USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",17/03/1958,Vanguard,Vanguard 1,Retired,Success,USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",26/03/1958,Juno I,Explorer 3,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/04/1958,Sputnik 8A91,Sputnik-3 #1,Retired,Failure,Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",28/04/1958,Vanguard,Vanguard TV5,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1958,Sputnik 8A91,Sputnik-3 #2,Retired,Success,Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",28/05/1958,Vanguard,Vanguard SLV-1,Retired,Failure,USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",26/06/1958,Vanguard,Vanguard SLV-2,Retired,Failure,USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/07/1958,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,Failure,USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",26/07/1958,Juno I,Explorer 4,Retired,Success,USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",12/08/1958,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,Failure,USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/08/1958,Thor-DM 18 Able I,Pioneer 0,Retired,Failure,USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",22/08/1958,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,Failure,USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",24/08/1958,Juno I,Explorer 5,Retired,Failure,USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/08/1958,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,Failure,USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",26/08/1958,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,Failure,USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",29/08/1958,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23/09/1958,Vostok,E-1 n†­1 (Luna-1),Retired,Failure,Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",26/09/1958,Vanguard,Vanguard SLV-3,Retired,Failure,USA
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/10/1958,Thor-DM 18 Able I,Pioneer 1,Retired,Partial Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/10/1958,Vostok,E-1 n†­2 (Luna-1),Retired,Failure,Kazakhstan
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",23/10/1958,Juno I,Beacon 1,Retired,Failure,USA
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/11/1958,Thor-DM 18 Able I,Pioneer 2,Retired,Failure,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/12/1958,Vostok,E-1 n†­3 (Luna-1),Retired,Failure,Kazakhstan
